Rev commit ID,Ticket,Release Name,Creation Date
751a179769ed29c686558cd618a7934754b6691f,AVRO-78,1.1.0,2009-07-15
e2e7fd906abe882be5d9ffa6f8ce0ef9025f7107,AVRO-79,1.1.0,2009-07-18
eeb1023f9630a576bf8ea2d5b0e485f565e90e42,AVRO-84,1.1.0,2009-07-28
eeb1023f9630a576bf8ea2d5b0e485f565e90e42,AVRO-84,1.1.0,2009-07-28
79d571847ca673a23733377fdfd9a489017c499c,AVRO-87,1.1.0,2009-07-31
f736dfd4dd6089d9323cf7290ca7852c9dd045cd,AVRO-95,1.1.0,2009-08-16
73b69bc59c61294a6689b695342e7f9d6b48db90,AVRO-88,1.1.0,2009-08-11
c529c6d5821d89bfb3f37e2c6bb0ec9b83635899,AVRO-97,1.1.0,2009-08-18
710e2379a2ef1c5c4d2cf6ada9e0dc49795f5c86,AVRO-95,1.1.0,2009-08-16
97a5793f050400d38b07d4fbab0539809ce579ff,AVRO-104,1.1.0,2009-08-20
acba0fcdc047d14f0a28a88aec0a9b8b0cf524f8,AVRO-107,1.1.0,2009-08-27
1dbb683d17f571213a8367d8e1306019063325d3,AVRO-114,1.1.0,2009-09-11
fc44dd5d2201fae7208660c0bfb5d4847f452c87,AVRO-113,1.2.0,2009-09-08
0c2a837bb14eab720fef8a25409a8e489897b507,AVRO-119,1.2.0,2009-09-22
86614561e4d1dd43a1e508f169c091e7cc935a4c,AVRO-117,1.2.0,2009-09-21
7c346f7ae726fd3213a9974752a3c4739469f79b,AVRO-118,1.2.0,2009-09-22
78983ffcfbf719ee6d190c486074c87779c6663f,AVRO-122,1.2.0,2009-09-24
e0c27e12a33b282eb0036e8c5c95a338a7977c0c,AVRO-123,1.2.0,2009-09-25
b397dd7b6f952bd1d2f34a09127661cee1b3e679,AVRO-125,1.2.0,2009-09-25
aa7305fcb283a28841eb1f03959c0c1550c187f5,AVRO-101,1.2.0,2009-08-19
8289fbdb37bb10b52d772327cb124555e1dfb020,AVRO-124,1.2.0,2009-09-25
fdd0b8cb52af8256e5691d3065b256a387d17718,AVRO-133,1.2.0,2009-10-05
dc0107bc2ed79e4c17b8ddbb178fd14357d47147,AVRO-134,1.2.0,2009-10-05
35776f85ca9b658fb187a988966c259781759ed7,AVRO-138,1.2.0,2009-10-07
c1e75de882bf7e9eb669f2d6b8c23330b7c3313e,AVRO-132,1.2.0,2009-10-02
2af1f70cdad4fb612bc22634ae183bd11e6e96e6,AVRO-137,1.2.0,2009-10-07
fac2b0477cba4cd01a56c635459a949f81680a84,AVRO-156,1.3.0,2009-10-20
62e4e5bc62c1716224f60e61813103ec54704459,AVRO-165,1.3.0,2009-10-21
4d2c4381dc5019ec721b525dafec3e6197b7e972,AVRO-162,1.3.0,2009-10-20
de86bbe9b92fda06368889a9554cb71fbb03bace,AVRO-176,1.3.0,2009-10-29
6c6a0cb898b7b4182ebe6ee9ee41ae5c83206075,AVRO-169,1.3.0,2009-10-23
a45e938a1c59fb4f1fdc66252bdafac6aa9f2069,AVRO-188,1.3.0,2009-11-10
8d27b88ec0c3ff374952f56519896f0c932f2967,AVRO-188,1.3.0,2009-11-10
39e6d507642777ab6ac2db0903775fbf094257a9,AVRO-189,1.3.0,2009-11-10
76c6762906b4802dd9e41b647a7a5146a08e180b,AVRO-182,1.3.0,2009-11-05
2185314c78c943fa3e5369e747c6807bc3b9d960,AVRO-191,1.3.0,2009-11-11
7ae507b40fd3493e02438165f1d0c982e6e79914,AVRO-194,1.3.0,2009-11-12
21bb13cd6122a926b670945bb11cde8bc0d973a3,AVRO-193,1.3.0,2009-11-12
8fa1312a50ec65a250de8df72794c061654cd9c9,AVRO-171,1.3.0,2009-10-24
43884c872df6d638d67a4584391bd79802dbbaa2,AVRO-193,1.3.0,2009-11-12
dd75906e473d7df696bb73ebfea4207992444629,AVRO-210,1.3.0,2009-11-18
dd75906e473d7df696bb73ebfea4207992444629,AVRO-210,1.3.0,2009-11-18
e2d1051e95de6628da5758bb91f2511e588d3eb1,AVRO-222,1.3.0,2009-11-20
148436898364857155f03278e3eff328403f7226,AVRO-223,1.3.0,2009-11-20
e0c709a3b29bdd335a9b604fb94580003f54c6af,AVRO-225,1.3.0,2009-11-20
234893c3d0ff9c18fd2b90e5c7ea0b0a9a0b2762,AVRO-80,1.3.0,2009-07-20
56d154f53715a3234a7cafd5fca4bbeb15999f6c,AVRO-227,1.3.0,2009-11-20
91856e0e927a07b4e6940cdb48d99261b1dbaa18,AVRO-232,1.3.0,2009-11-21
e0839ab5642e57853443d7388565c5acd6311ee3,AVRO-238,1.3.0,2009-11-24
7c655949f7bd1bc0896181545204665ff0a8ed87,AVRO-184,1.3.0,2009-11-06
47646602d304105ec8edac22be3ac8dd9b0bbe38,AVRO-247,1.3.0,2009-12-01
cfd4b63a8bb9244e3c1cdd48fffe2dd429f8e48d,AVRO-256,1.3.0,2009-12-14
a87b0c1be09e0449a2c941ea542ce0f22639fdb1,AVRO-255,1.3.0,2009-12-14
39c4b9c04f2232e71cca1e2f29dbc4e3319c9edf,AVRO-257,1.3.0,2009-12-15
939eb8a8a6f5fb7239432eb0bc42730153d46c92,AVRO-276,1.3.0,2009-12-31
fee963d618d493bf630fc0afdfbc1eb8d74b5362,AVRO-280,1.3.0,2010-01-04
8fc362ad49300d2aa145c0e0e118851fbcc563b6,AVRO-259,1.3.0,2009-12-18
8697acfffac7f9d677793ea65ad3d66143b6963d,AVRO-281,1.3.0,2010-01-04
7c85a78d59b838852273934706bd394df56c23ee,AVRO-207,1.3.0,2009-11-18
820d85de389914cd414a0dac60ca4e9cca359b02,AVRO-282,1.3.0,2010-01-04
56794b99650ef9343e7e7fd5b518391cfeaff032,AVRO-309,1.3.0,2010-01-12
e10a0be31a2495dcc9205a681e8401003e2a5bea,AVRO-313,1.3.0,2010-01-13
e2619a8330a83f8a4f88a5dc055fa9cc2c606873,AVRO-329,1.3.0,2010-01-14
b6bd22843bec5f28b5c44af91c4e5fb2b1187f2b,AVRO-308,1.3.0,2010-01-12
aaa7f4764b7396fd2d1cb63058fbdf6209e829cb,AVRO-335,1.3.0,2010-01-14
eeb127e7edec95b9663f416cee4bebab9581e0e3,AVRO-313,1.3.0,2010-01-13
516ad11ed8f9c3d2f7830a9b8624fc82cc2346ab,AVRO-313,1.3.0,2010-01-13
76315b92e96ff9ed61183d81124fc3acf6998249,AVRO-337,1.3.0,2010-01-15
771a96e26cab64a37d8dbbbcc898a2f0132db1c3,AVRO-347,1.3.0,2010-01-18
c11181848af28d91162a4f87647400eacaafcff5,AVRO-198,1.3.0,2009-11-15
e3ddec6f5a87984a5d5358734f8ee5e26a6682df,AVRO-352,1.3.0,2010-01-19
