@relation AVRO_Training_Set_2

@attribute ' Size' numeric
@attribute ' Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute ' CHURN MAX' numeric
@attribute ' CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {NO,YES}

@data
24,2,0,1,0,0,0,0,0,1,48,24,24,48,24,24,0,24,NO
25,3,0,2,0,0,0,0,0,1,59,28,19.666667,59,28,18.666667,3,18.666667,NO
339,12,0,22,8,19,10,3,1,1,647,300,53.916667,813,300,60.5,32,60.5,NO
725,15,0,40,26,50,12,6,0,1,1204,451,80.266667,1648,451,94.133333,80,94.133333,NO
24,2,0,1,0,0,0,0,0,1,48,24,24,48,24,24,0,24,NO
218,5,0,24,7,8,8,0,4,1,426,208,85.2,466,208,89.2,10,89.2,YES
193,5,0,18,6,4,10,0,4,1,376,183,75.2,402,183,77.8,5,77.8,YES
32,2,0,2,0,3,1,0,0,1,64,32,32,64,32,32,0,32,NO
36,2,0,6,0,0,1,0,0,1,72,36,36,72,36,36,0,36,YES
36,3,0,5,0,0,0,0,0,1,75,37,25,75,37,24.666667,1,24.666667,NO
279,9,0,8,4,14,6,0,5,1,543,250,60.333333,569,250,61,11,61,YES
462,14,0,13,4,26,6,1,8,1,883,265,63.071429,1483,265,78.928571,169,78.928571,YES
252,8,0,10,2,23,5,0,7,1,419,164,52.375,541,164,59.875,31,59.875,YES
24,1,0,3,0,0,0,0,0,1,24,24,24,24,24,24,0,24,NO
28,2,0,3,0,0,1,0,1,1,56,28,28,56,28,28,0,28,NO
57,5,0,2,1,3,1,2,7,1,114,57,22.8,144,57,25.8,7,25.8,NO
54,4,0,5,0,3,1,0,6,1,107,53,26.75,135,53,30.25,9,30.25,NO
300,2,0,3,5,27,4,0,3,1,310,305,155,310,305,152.5,5,152.5,NO
250,2,0,3,2,23,3,0,2,1,282,266,141,282,266,133,16,133,NO
622,1,0,30,5,28,5,0,3,1,622,622,622,622,622,622,0,622,YES
37,4,0,2,0,0,1,0,1,1,79,39,19.75,85,39,20.25,3,20.25,NO
35,4,0,2,0,0,1,0,1,1,73,36,18.25,79,36,18.75,3,18.75,NO
